,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_cache_size,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,15.11962537765503,0.10077727829704851,0.3765591621398926,0.012294556038778385,1e-06,400.0,rbf,"{'C': 1e-06, 'cache_size': 400.0, 'kernel': 'rbf'}",0.2615287428932407,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2611553061007721,0.00018671839623431996,15
1,15.504557704925537,0.4769208281566445,0.38347926139831545,0.028570090926279993,1e-05,400.0,rbf,"{'C': 1e-05, 'cache_size': 400.0, 'kernel': 'rbf'}",0.2615287428932407,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2611553061007721,0.00018671839623431996,15
2,16.15346465110779,0.06459394431677565,0.38727493286132814,0.002717683765976796,0.0001,400.0,rbf,"{'C': 0.0001, 'cache_size': 400.0, 'kernel': 'rbf'}",0.2615287428932407,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2611553061007721,0.00018671839623431996,15
3,15.515729808807373,0.06181084839907726,0.3801058292388916,0.0079586554602091,0.001,400.0,rbf,"{'C': 0.001, 'cache_size': 400.0, 'kernel': 'rbf'}",0.5464308275426406,0.6194690265486725,0.606826801517067,0.6093552465233881,0.5600505689001264,0.5884264942063789,0.029356607271327082,13
4,6.5601503372192385,0.06690027157840357,0.29303650856018065,0.00644026296706385,0.01,400.0,rbf,"{'C': 0.01, 'cache_size': 400.0, 'kernel': 'rbf'}",0.7466835123183828,0.7560050568900126,0.7509481668773704,0.7547408343868521,0.7439949431099874,0.750474502716521,0.004590626842117914,10
5,2.8814939498901366,0.0648131846905362,0.16561145782470704,0.0024520690739397093,0.1,400.0,rbf,"{'C': 0.1, 'cache_size': 400.0, 'kernel': 'rbf'}",0.9444093493367025,0.950063211125158,0.9551201011378002,0.9487989886219975,0.9443742098609356,0.9485531720165188,0.004002504043636674,5
6,1.2062968254089355,0.03195073307424032,0.06860899925231934,0.0014792724652424602,1.0,400.0,rbf,"{'C': 1.0, 'cache_size': 400.0, 'kernel': 'rbf'}",0.9728363866077069,0.9778761061946902,0.984197218710493,0.9785082174462706,0.9715549936788875,0.9769945845276096,0.0045127788063899586,4
7,0.689537239074707,0.009052153796041228,0.0304840087890625,0.0012094790182620816,10.0,400.0,rbf,"{'C': 10.0, 'cache_size': 400.0, 'kernel': 'rbf'}",0.9879974731522426,0.9892541087231352,0.9898862199747156,0.9848293299620733,0.9873577749683944,0.9878649813561122,0.0017609697429007778,3
8,0.743466854095459,0.015890109315089593,0.020102500915527344,0.0008395268864487149,100.0,400.0,rbf,"{'C': 100.0, 'cache_size': 400.0, 'kernel': 'rbf'}",0.9892608970309539,0.9917825537294563,0.9898862199747156,0.9867256637168141,0.9898862199747156,0.9895083108853312,0.0016286282543003456,2
9,0.9245006561279296,0.026443417695436934,0.01689157485961914,0.002501970874203356,1000.0,400.0,rbf,"{'C': 1000.0, 'cache_size': 400.0, 'kernel': 'rbf'}",0.9930511686670878,0.9924146649810367,0.9911504424778761,0.9892541087231352,0.9917825537294563,0.9915305877157184,0.001302621427608623,1
10,9.95695071220398,0.04340128752909315,0.19691872596740723,0.006630931300995243,1e-06,400.0,linear,"{'C': 1e-06, 'cache_size': 400.0, 'kernel': 'linear'}",0.2615287428932407,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2611553061007721,0.00018671839623431996,15
11,9.964429330825805,0.13708661312077708,0.1986452579498291,0.003955833634270226,1e-05,400.0,linear,"{'C': 1e-05, 'cache_size': 400.0, 'kernel': 'linear'}",0.2615287428932407,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2611553061007721,0.00018671839623431996,15
12,10.029982709884644,0.04445842133728559,0.1978837013244629,0.005246422067238227,0.0001,400.0,linear,"{'C': 0.0001, 'cache_size': 400.0, 'kernel': 'linear'}",0.2615287428932407,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2611553061007721,0.00018671839623431996,15
13,10.243607997894287,0.1710894194769829,0.2064507484436035,0.006991491171590967,0.001,400.0,linear,"{'C': 0.001, 'cache_size': 400.0, 'kernel': 'linear'}",0.474415666456096,0.48166877370417194,0.47850821744627053,0.4804045512010114,0.47661188369152974,0.47832181849981587,0.0025983275409031917,14
14,6.249946451187133,0.07943677059934597,0.17310829162597657,0.017771903046431045,0.01,400.0,linear,"{'C': 0.01, 'cache_size': 400.0, 'kernel': 'linear'}",0.6197094125078964,0.6270543615676359,0.6245259165613148,0.6276864728192162,0.6207332490518331,0.6239418825015793,0.0032329463103728914,12
15,3.9122202396392822,0.04500788591885069,0.14285893440246583,0.01153319937728953,0.1,400.0,linear,"{'C': 0.1, 'cache_size': 400.0, 'kernel': 'linear'}",0.7296272899557802,0.7534766118836915,0.7471554993678887,0.7522123893805309,0.7389380530973452,0.7442819687370473,0.00893316581072444,11
16,2.185456132888794,0.01472554460130757,0.10583605766296386,0.003663240827299961,1.0,400.0,linear,"{'C': 1.0, 'cache_size': 400.0, 'kernel': 'linear'}",0.8395451674036639,0.8786346396965866,0.8337547408343868,0.8293299620733249,0.8369152970922883,0.8436359614200502,0.017827560367961164,9
17,1.4116955280303956,0.01300012007254008,0.060610055923461914,0.0024337759212264896,10.0,400.0,linear,"{'C': 10.0, 'cache_size': 400.0, 'kernel': 'linear'}",0.9222994314592545,0.9254108723135271,0.9310998735777497,0.9279393173198482,0.9260429835651075,0.9265584956470974,0.002906998513228116,8
18,1.8692736625671387,0.039166428470753994,0.047159767150878905,0.004909292948144134,100.0,400.0,linear,"{'C': 100.0, 'cache_size': 400.0, 'kernel': 'linear'}",0.9279848389134555,0.9292035398230089,0.9361567635903919,0.9348925410872313,0.9310998735777497,0.9318675113983673,0.0031720544443104345,7
19,3.892920637130737,0.2549458409822039,0.02986154556274414,0.0023224616712525605,1000.0,400.0,linear,"{'C': 1000.0, 'cache_size': 400.0, 'kernel': 'linear'}",0.9279848389134555,0.9298356510745891,0.9361567635903919,0.9348925410872313,0.93173198482933,0.9321203558989997,0.0030479765986354554,6
